09/03/2025 07:13:03 Epoch 68/200 summary:  loss_train=0.66668,  acc_train=93.31%,  loss_val=0.47,  acc_val=86.38% (best: 86.85% @ epoch 62)
09/03/2025 07:13:59 Epoch 69/200 summary:  loss_train=0.66116,  acc_train=93.60%,  loss_val=0.45,  acc_val=86.71% (best: 86.85% @ epoch 62)
09/03/2025 07:14:55 Epoch 70/200 summary:  loss_train=0.65507,  acc_train=93.75%,  loss_val=0.46,  acc_val=86.41% (best: 86.85% @ epoch 62)
09/03/2025 07:15:52 Epoch 71/200 summary:  loss_train=0.65490,  acc_train=93.79%,  loss_val=0.45,  acc_val=86.63% (best: 86.85% @ epoch 62)
09/03/2025 07:16:49 Epoch 72/200 summary:  loss_train=0.65162,  acc_train=94.01%,  loss_val=0.46,  acc_val=86.96% (best: 86.96% @ epoch 72)
09/03/2025 07:17:46 Epoch 73/200 summary:  loss_train=0.64886,  acc_train=94.05%,  loss_val=0.46,  acc_val=87.68% (best: 87.68% @ epoch 73)
09/03/2025 07:18:42 Epoch 74/200 summary:  loss_train=0.64693,  acc_train=94.26%,  loss_val=0.45,  acc_val=87.49% (best: 87.68% @ epoch 73)
09/03/2025 07:19:39 Epoch 75/200 summary:  loss_train=0.64040,  acc_train=94.52%,  loss_val=0.48,  acc_val=86.02% (best: 87.68% @ epoch 73)
09/03/2025 07:20:35 Epoch 76/200 summary:  loss_train=0.64627,  acc_train=94.13%,  loss_val=0.46,  acc_val=87.32% (best: 87.68% @ epoch 73)
09/03/2025 07:21:31 Epoch 77/200 summary:  loss_train=0.64438,  acc_train=94.26%,  loss_val=0.45,  acc_val=87.16% (best: 87.68% @ epoch 73)
09/03/2025 07:22:27 Epoch 78/200 summary:  loss_train=0.63614,  acc_train=94.64%,  loss_val=0.53,  acc_val=84.26% (best: 87.68% @ epoch 73)
09/03/2025 07:23:23 Epoch 79/200 summary:  loss_train=0.63570,  acc_train=94.67%,  loss_val=0.43,  acc_val=87.98% (best: 87.98% @ epoch 79)
09/03/2025 07:24:19 Epoch 80/200 summary:  loss_train=0.63230,  acc_train=94.84%,  loss_val=0.48,  acc_val=86.15% (best: 87.98% @ epoch 79)
09/03/2025 07:25:15 Epoch 81/200 summary:  loss_train=0.63458,  acc_train=94.75%,  loss_val=0.42,  acc_val=87.90% (best: 87.98% @ epoch 79)
09/03/2025 07:26:11 Epoch 82/200 summary:  loss_train=0.62373,  acc_train=95.24%,  loss_val=0.43,  acc_val=87.79% (best: 87.98% @ epoch 79)
09/03/2025 07:27:07 Epoch 83/200 summary:  loss_train=0.62263,  acc_train=95.24%,  loss_val=0.43,  acc_val=87.55% (best: 87.98% @ epoch 79)
09/03/2025 07:28:03 Epoch 84/200 summary:  loss_train=0.62182,  acc_train=95.26%,  loss_val=0.46,  acc_val=87.39% (best: 87.98% @ epoch 79)
09/03/2025 07:28:59 Epoch 85/200 summary:  loss_train=0.62472,  acc_train=95.19%,  loss_val=0.43,  acc_val=88.12% (best: 88.12% @ epoch 85)
09/03/2025 07:29:55 Epoch 86/200 summary:  loss_train=0.61784,  acc_train=95.41%,  loss_val=0.44,  acc_val=87.07% (best: 88.12% @ epoch 85)
09/03/2025 07:30:51 Epoch 87/200 summary:  loss_train=0.61486,  acc_train=95.50%,  loss_val=0.48,  acc_val=85.88% (best: 88.12% @ epoch 85)
09/03/2025 07:31:48 Epoch 88/200 summary:  loss_train=0.61937,  acc_train=95.30%,  loss_val=0.42,  acc_val=87.91% (best: 88.12% @ epoch 85)
09/03/2025 07:32:44 Epoch 89/200 summary:  loss_train=0.61065,  acc_train=95.73%,  loss_val=0.48,  acc_val=86.11% (best: 88.12% @ epoch 85)
09/03/2025 07:33:40 Epoch 90/200 summary:  loss_train=0.61231,  acc_train=95.71%,  loss_val=0.41,  acc_val=88.45% (best: 88.45% @ epoch 90)
09/03/2025 07:34:36 Epoch 91/200 summary:  loss_train=0.60959,  acc_train=95.81%,  loss_val=0.42,  acc_val=88.05% (best: 88.45% @ epoch 90)
09/03/2025 07:35:32 Epoch 92/200 summary:  loss_train=0.60718,  acc_train=95.78%,  loss_val=0.46,  acc_val=87.53% (best: 88.45% @ epoch 90)
09/03/2025 07:36:29 Epoch 93/200 summary:  loss_train=0.61254,  acc_train=95.53%,  loss_val=0.46,  acc_val=87.44% (best: 88.45% @ epoch 90)
09/03/2025 07:37:25 Epoch 94/200 summary:  loss_train=0.60941,  acc_train=95.83%,  loss_val=0.44,  acc_val=87.49% (best: 88.45% @ epoch 90)
09/03/2025 07:38:21 Epoch 95/200 summary:  loss_train=0.60413,  acc_train=95.94%,  loss_val=0.43,  acc_val=88.06% (best: 88.45% @ epoch 90)
09/03/2025 07:39:17 Epoch 96/200 summary:  loss_train=0.60717,  acc_train=95.85%,  loss_val=0.49,  acc_val=86.04% (best: 88.45% @ epoch 90)
09/03/2025 07:40:13 Epoch 97/200 summary:  loss_train=0.60249,  acc_train=96.11%,  loss_val=0.41,  acc_val=88.94% (best: 88.94% @ epoch 97)
09/03/2025 07:41:09 Epoch 98/200 summary:  loss_train=0.60501,  acc_train=95.96%,  loss_val=0.40,  acc_val=89.13% (best: 89.13% @ epoch 98)
09/03/2025 07:42:04 Epoch 99/200 summary:  loss_train=0.59847,  acc_train=96.19%,  loss_val=0.44,  acc_val=88.09% (best: 89.13% @ epoch 98)
09/03/2025 07:42:59 Epoch 100/200 summary:  loss_train=0.60739,  acc_train=95.80%,  loss_val=0.42,  acc_val=88.29% (best: 89.13% @ epoch 98)
09/03/2025 07:43:55 Epoch 101/200 summary:  loss_train=0.55581,  acc_train=98.18%,  loss_val=0.33,  acc_val=91.13% (best: 91.13% @ epoch 101)
09/03/2025 07:44:50 Epoch 102/200 summary:  loss_train=0.53841,  acc_train=98.98%,  loss_val=0.33,  acc_val=91.34% (best: 91.34% @ epoch 102)
